Dot product (size:4096),,Magnitude
Double,F48,Double,F48
2228,9248,2220,6608
2132,8700,2132,6476
2132,8648,2112,6456
2128,8652,2108,6460
2132,8668,2112,6452
2132,8656,2112,6464
2132,8664,2112,6464
2132,8632,2112,6464
2132,8648,2108,6452
2132,8644,2108,6460
2132,8612,2112,6452
2136,8648,2112,6464
2132,8628,2112,6464
2132,8628,2112,6456
35040,8676,2112,6460
2172,8612,2112,6460
2132,8616,2112,6448
2132,8620,2112,6460
2132,8628,2112,6448
2132,8612,2112,6468
2132,8676,2112,6460
2132,8644,2112,6468
2132,8644,2108,6448
2132,8628,2112,6460
2132,8644,2108,6464
