Matrix-vector Multiplication (size:2048),,,,,,
Double,,,F48,,,
non-SSE,SSE-v1,SSE-v2,non-SSE,SSE-v1,SSE-v2,SSE-loop un-rolled
13196604,8221900,7538032,50467476,9620600,5049948,6278316
13214328,8128544,7535516,50471164,9622352,5187892,6260768
13266124,8180016,7497160,50541008,9728760,5217324,6358832
13182800,8129348,7516516,50515388,9595284,5201040,6281088
13234532,8114272,7518460,50581188,9601332,5244352,6292712
13304300,8150992,7520876,50521676,9599448,5165156,6287452
13242640,8151948,7595028,50525460,9629800,5189908,6309608
13115620,8215708,7522680,50509536,9559044,5193796,6295212
13090756,8143800,7470048,50632756,9532472,5203272,6315684
13146340,8162984,7499512,50569224,9539900,5173036,6297788
13152976,8137540,7567868,50568036,9619004,5193184,6286312
13116456,8101800,7477040,50617040,9508796,5191148,6315512
13144460,8155352,7538416,50539460,9554116,5188728,6275392
13089140,8163224,7531204,50499616,9561928,5207176,6307712
13099308,8121476,7492580,50495032,9525148,5183632,6351552
13117076,8154900,7487028,50690456,9564068,5188840,6368268
13104848,8210652,7476148,50499428,9792600,5212888,6252524
13117296,8198532,7514588,50551064,9543004,5214512,6291428
13107596,8105400,7499096,50628544,9555688,5178980,6327180
13114064,8132116,7544272,50495912,9507448,5197964,6246444
13101468,8170488,7530984,50508344,9529180,5171944,6274796
13146764,8199112,7520752,50563972,9561936,5224476,6290072
13178900,8111856,7511600,50497188,9521260,5175180,6330808
13115280,8173520,7511052,50503260,9521236,5169680,6247552
13094548,8147064,7490544,50529968,9535848,5161596,6346160
